Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
674,Matt Turner\Matt-Turner,us USA,GK,New England,27-123,1994,26,26,2340,26.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
675,Ema Twumasi\Ema-Twumasi,gh GHA,DF,FC Dallas,24-160,1997,21,17,1522,16.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
676,Przemysław Tytoń\Przemyslaw-Tyton,pl POL,GK,FC Cincinnati,34-294,1987,15,14,1286,14.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
677,Victor Ulloa\Victor-Ulloa,us USA,MFDF,Inter Miami,29-235,1992,21,14,1241,13.8,0,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,0.5,0.5,0.5,1.0,0.04,0.04,0.07,0.04,0.07,Matches
678,Maximiliano Urruti\Maximiliano-Urruti,ar ARG,FW,Houston Dynamo,30-245,1991,29,25,2222,24.7,7,1,7,0,0,4,0,0.28,0.04,0.32,0.28,0.32,6.7,6.7,1.9,8.6,0.27,0.08,0.35,0.27,0.35,Matches
679,Júnior Urso\Junior-Urso,br BRA,MF,Orlando City,32-229,1989,28,27,2305,25.6,4,0,4,0,0,5,0,0.16,0.00,0.16,0.16,0.16,3.7,3.7,1.6,5.3,0.14,0.06,0.21,0.14,0.21,Matches
680,Zarek Valentin\Zarek-Valentin,pr PUR,DF,Houston Dynamo,30-080,1991,29,28,2397,26.6,0,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,0.9,1.1,0.00,0.04,0.04,0.00,0.04,Matches
681,Milton Valenzuela\Milton-Valenzuela,ar ARG,DF,Columbus Crew,23-073,1998,11,9,601,6.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.01,0.03,0.04,0.01,0.04,Matches
682,Diego Valeri\Diego-Valeri,ar ARG,MFFW,Portland Timbers,35-177,1986,28,10,1208,13.4,2,1,1,1,2,6,0,0.15,0.07,0.22,0.07,0.15,4.1,2.6,3.5,6.0,0.30,0.26,0.56,0.19,0.45,Matches
683,Exon Vallecilla\Exon-Vallecilla,ec ECU,DF,FC Cincinnati,22-150,1999,24,24,1907,21.2,2,0,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.1,1.0,0.04,0.01,0.05,0.04,0.05,Matches
684,Florian Valot\Florian-Valot,fr FRA,MFDF,NY Red Bulls,28-255,1993,3,1,95,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
685,Florian Valot\Florian-Valot,fr FRA,MFFW,FC Cincinnati,28-255,1993,9,4,329,3.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.09,0.05,0.14,0.09,0.14,Matches
686,José Van Rankin\Jose-Van-Rankin,mx MEX,DF,Portland Timbers,28-164,1993,30,24,2178,24.2,0,2,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,0.9,0.9,1.2,2.1,0.04,0.05,0.09,0.04,0.09,Matches
687,Freddy Vargas\Freddy-Vargas,ve VEN,FW,FC Dallas,22-207,1999,12,7,534,5.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.1,1.8,0.11,0.18,0.30,0.11,0.30,Matches
688,Obed Vargas\Obed-Vargas,us USA,FW,Seattle,16-081,2005,1,1,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
689,Indiana Vassilev\Indiana-Vassilev,us USA,FWMF,Inter Miami,20-251,2001,18,5,626,7.0,3,0,3,0,0,0,0,0.43,0.00,0.43,0.43,0.43,1.6,1.6,0.4,2.0,0.23,0.05,0.28,0.23,0.28,Matches
690,Brandon Vazquez\Brandon-Vazquez,us USA,FW,FC Cincinnati,23-011,1998,28,3,613,6.8,3,3,3,0,0,2,0,0.44,0.44,0.88,0.44,0.88,3.3,3.3,1.4,4.7,0.48,0.20,0.68,0.48,0.68,Matches
691,Víctor Vázquez\Victor-Vazquez,es ESP,MFFW,LA Galaxy,34-278,1987,25,19,1468,16.3,3,5,3,0,0,1,0,0.18,0.31,0.49,0.18,0.49,1.6,1.6,5.6,7.2,0.10,0.34,0.44,0.10,0.44,Matches
692,Carlos Vela\Carlos-Vela,mx MEX,FW,Los Angeles FC,32-238,1989,17,15,1175,13.1,5,4,5,0,1,0,0,0.38,0.31,0.69,0.38,0.69,6.5,5.7,4.5,10.3,0.50,0.35,0.85,0.44,0.79,Matches
693,Matías Vera\Matias-Vera,ar ARG,MF,Houston Dynamo,25-364,1995,29,28,2391,26.6,3,1,3,0,0,9,0,0.11,0.04,0.15,0.11,0.15,3.1,3.1,1.7,4.8,0.12,0.06,0.18,0.12,0.18,Matches
694,Kenneth Vermeer\Kenneth-Vermeer,nl NED,GK,FC Cincinnati,35-288,1986,16,16,1414,15.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.6,0.6,0.00,0.04,0.04,0.00,0.04,Matches
695,Ranko Veselinović\Ranko-Veselinovic,rs SRB,DF,Vancouver,22-215,1999,24,20,1810,20.1,1,0,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,0.9,0.9,0.3,1.2,0.04,0.01,0.06,0.04,0.06,Matches
696,Jorge Villafaña\Jorge-Villafana,us USA,DF,LA Galaxy,32-039,1989,21,20,1695,18.8,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.01,0.03,0.04,0.01,0.04,Matches
697,Alex Villanueva\Alex-Villanueva,us USA,DFFW,Seattle,19-108,2002,2,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
698,Sam Vines\Sam-Vines,us USA,DF,Colorado Rapids,22-147,1999,8,8,719,8.0,1,1,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,0.8,0.8,0.8,1.5,0.10,0.10,0.19,0.10,0.19,Matches
699,Kai Wagner\Kai-Wagner,de GER,DF,Philadelphia,24-252,1997,30,28,2568,28.5,3,3,3,0,0,8,1,0.11,0.11,0.21,0.11,0.21,1.1,1.1,3.5,4.6,0.04,0.12,0.16,0.04,0.16,Matches
700,Anton Walkes\Anton-Walkes,eng ENG,DF,Atlanta Utd,24-259,1997,29,28,2503,27.8,2,1,2,0,0,4,0,0.07,0.04,0.11,0.07,0.11,0.8,0.8,0.1,0.9,0.03,0.00,0.03,0.03,0.03,Matches
701,Rémi Walter\Remi-Walter,fr FRA,MF,Sporting KC,26-182,1995,24,19,1534,17.0,1,1,1,0,0,2,1,0.06,0.06,0.12,0.06,0.12,0.9,0.9,0.6,1.5,0.05,0.03,0.09,0.05,0.09,Matches
702,Victor Wanyama\Victor-Wanyama,ke KEN,MF,CF Montréal,30-122,1991,25,25,2205,24.5,2,0,1,1,1,8,1,0.08,0.00,0.08,0.04,0.04,2.4,1.6,0.7,2.3,0.10,0.03,0.13,0.07,0.09,Matches
703,Collen Warner\Collen-Warner,us USA,MF,Colorado Rapids,33-123,1988,14,9,716,8.0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.8,1.0,0.02,0.10,0.12,0.02,0.12,Matches
704,Taylor Washington\Taylor-Washington,us USA,DF,Nashville,28-070,1993,16,12,1005,11.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,1.2,1.2,0.00,0.11,0.11,0.00,0.11,Matches
705,Joel Waterman\Joel-Waterman,ca CAN,DF,CF Montréal,25-274,1996,19,18,1597,17.7,0,2,0,0,0,5,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.3,0.3,0.00,0.02,0.02,0.00,0.02,Matches
706,Patrick Weah\Patrick-Weah,lr LBR,FW,Minnesota Utd,17-324,2003,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,1.05,0.00,1.05,1.05,1.05,Matches
707,Quentin Westberg\Quentin-Westberg,us USA,GK,Toronto FC,35-183,1986,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
708,Brian White\Brian-White,us USA,MFFW,NY Red Bulls,25-264,1996,5,3,194,2.2,0,1,0,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.2,0.2,0.2,0.4,0.08,0.08,0.16,0.08,0.16,Matches
709,Brian White\Brian-White,us USA,FW,Vancouver,25-264,1996,24,20,1657,18.4,11,3,11,0,0,2,0,0.60,0.16,0.76,0.60,0.76,8.0,8.0,1.9,9.9,0.43,0.10,0.54,0.43,0.54,Matches
710,Augustine Williams\Augustine-Williams,sl SLE,FW,LA Galaxy,24-083,1997,7,0,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.9,1.0,0.09,0.88,0.97,0.09,0.97,Matches
711,Derrick Williams\Derrick-Williams,ie IRL,DF,LA Galaxy,28-281,1993,18,17,1397,15.5,0,2,0,0,0,2,1,0.00,0.13,0.13,0.00,0.13,0.9,0.9,0.3,1.2,0.06,0.02,0.08,0.06,0.08,Matches
712,Josh Williams\Josh-Williams,us USA,DF,Columbus Crew,33-190,1988,15,12,1180,13.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.0,1.0,0.07,0.00,0.07,0.07,0.07,Matches
713,Eryk Williamson\Eryk-Williamson,us USA,MF,Portland Timbers,24-136,1997,14,11,949,10.5,1,2,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,0.9,0.9,1.4,2.3,0.08,0.14,0.22,0.08,0.22,Matches
714,Joe Willis\Joe-Willis,us USA,GK,Nashville,33-076,1988,31,31,2790,31.0,0,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.2,0.2,0.00,0.01,0.01,0.00,0.01,Matches
715,Danny Wilson\Danny-Wilson,sct SCO,DF,Colorado Rapids,29-302,1991,27,27,2270,25.2,2,0,2,0,0,7,1,0.08,0.00,0.08,0.08,0.08,1.3,1.3,0.2,1.4,0.05,0.01,0.06,0.05,0.06,Matches
716,Tyler Wolff\Tyler-Wolff,us USA,MFFW,Atlanta Utd,18-254,2003,7,2,226,2.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches
717,Chris Wondolowski\Chris-Wondolowski,us USA,FWMF,San Jose,38-270,1983,29,7,1047,11.6,3,0,3,0,1,2,1,0.26,0.00,0.26,0.26,0.26,5.8,5.0,1.3,6.3,0.50,0.11,0.61,0.43,0.54,Matches
718,Bobby Wood\Bobby-Wood,us USA,FWMF,Real Salt Lake,28-344,1992,13,6,503,5.6,2,1,2,0,0,0,0,0.36,0.18,0.54,0.36,0.54,1.6,1.6,0.5,2.2,0.29,0.10,0.39,0.29,0.39,Matches
719,Vito Wormgoor\Vito-Wormgoor,nl NED,DF,Columbus Crew,32-343,1988,15,14,1112,12.4,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
720,Bradley Wright-Phillips\Bradley-Wright-Phillips,eng ENG,FW,Columbus Crew,36-227,1985,19,6,646,7.2,1,0,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,1.5,1.5,0.8,2.3,0.21,0.12,0.33,0.21,0.33,Matches
721,William Yarbrough\William-Yarbrough,us USA,GK,Colorado Rapids,32-219,1989,30,30,2700,30.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
722,Dru Yearwood\Dru-Yearwood,eng ENG,MF,NY Red Bulls,21-250,2000,25,14,1363,15.1,1,1,1,0,0,9,1,0.07,0.07,0.13,0.07,0.13,1.2,1.2,1.2,2.4,0.08,0.08,0.16,0.08,0.16,Matches
723,Griffin Yow\Griffin-Yow,us USA,DFFW,D.C. United,19-030,2002,11,1,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.3,0.3,0.7,0.9,0.10,0.26,0.35,0.10,0.35,Matches
724,Jackson Yueill\Jackson-Yueill,us USA,MF,San Jose,24-220,1997,26,25,2287,25.4,2,0,2,0,0,0,0,0.08,0.00,0.08,0.08,0.08,2.8,2.8,1.1,3.9,0.11,0.04,0.15,0.11,0.15,Matches
725,Renzo Zambrano\Renzo-Zambrano,ve VEN,MF,Portland Timbers,27-060,1994,13,6,587,6.5,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.01,0.01,0.02,0.01,0.02,Matches
726,Gyasi Zardes\Gyasi-Zardes,us USA,FW,Columbus Crew,30-053,1991,21,18,1558,17.3,9,0,9,0,0,0,0,0.52,0.00,0.52,0.52,0.52,6.5,6.5,1.4,7.9,0.37,0.08,0.46,0.37,0.46,Matches
727,Eriq Zavaleta\Eriq-Zavaleta,sv SLV,DF,Toronto FC,29-084,1992,14,12,1017,11.3,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
728,Gedion Zelalem\Gedion-Zelalem,us USA,MF,NYCFC,24-272,1997,4,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
729,Lucas Zelarayán\Lucas-Zelarayan,am ARM,MF,Columbus Crew,29-127,1992,29,25,2376,26.4,8,2,8,0,0,1,0,0.30,0.08,0.38,0.30,0.38,4.6,4.6,4.4,9.1,0.18,0.17,0.34,0.18,0.34,Matches
730,Walker Zimmerman\Walker-Zimmerman,us USA,DF,Nashville,28-159,1993,22,19,1772,19.7,2,1,2,0,0,1,0,0.10,0.05,0.15,0.10,0.15,1.6,1.6,0.6,2.2,0.08,0.03,0.11,0.08,0.11,Matches
731,Rida Zouhir\Rida-Zouhir,ca CAN,MF,CF Montréal,17-336,2003,2,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
732,Ethan Zubak\Ethan-Zubak,us USA,FWMF,LA Galaxy,23-193,1998,17,6,664,7.4,1,1,1,0,0,0,0,0.14,0.14,0.27,0.14,0.27,1.3,1.3,0.8,2.1,0.17,0.11,0.29,0.17,0.29,Matches
733,Dario Župarić\Dario-Zuparic,ba BIH,DF,Portland Timbers,29-175,1992,28,27,2430,27.0,0,2,0,0,0,8,0,0.00,0.07,0.07,0.00,0.07,0.4,0.4,0.9,1.3,0.01,0.03,0.05,0.01,0.05,Matches
734,Graham Zusi\Graham-Zusi,us USA,DF,Sporting KC,35-068,1986,22,20,1768,19.6,0,4,0,0,0,7,0,0.00,0.20,0.20,0.00,0.20,0.4,0.4,3.3,3.8,0.02,0.17,0.19,0.02,0.19,Matches
735,Guðmundur Þórarinsson\Gudmundur-Thorarinsson,is ISL,DF,NYCFC,29-193,1992,24,20,1649,18.3,2,2,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22,0.8,0.8,3.6,4.3,0.04,0.19,0.24,0.04,0.24,Matches
