Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,GlsPer90,AstPer90,G+APer90,G-PKPer90,G+A-PK,xG,npxG,xA,npxG+xA,xGPer90,xAPer90,xG+xAPer90,npxGPer90,npxG+xAPer90,Matches
523,Joshua Penn\Joshua-Penn,us USA,FW,Inter Miami,20-334,2000,2,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.25,0.25,0.00,0.25,Matches
524,Ricardo Pepi\Ricardo-Pepi,us USA,FW,FC Dallas,18-289,2003,28,22,1917,21.3,13,2,13,0,0,1,0,0.61,0.09,0.70,0.61,0.70,8.8,8.8,2.1,10.9,0.41,0.10,0.51,0.41,0.51,Matches
525,Andrés Perea\Andres-Perea,us USA,MFFW,Orlando City,20-345,2000,24,15,1600,17.8,2,0,2,0,0,3,1,0.11,0.00,0.11,0.11,0.11,2.0,2.0,1.3,3.3,0.11,0.08,0.19,0.11,0.19,Matches
526,Daniel Pereira\Daniel-Pereira,ve VEN,MF,Austin FC,21-103,2000,23,16,1377,15.3,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.0,1.6,0.04,0.06,0.10,0.04,0.10,Matches
527,Mauricio Pereyra\Mauricio-Pereyra,uy URU,MF,Orlando City,31-224,1990,26,23,1892,21.0,1,7,1,0,1,5,0,0.05,0.33,0.38,0.05,0.38,2.0,1.2,5.3,6.5,0.09,0.25,0.35,0.06,0.31,Matches
528,Adrien Perez\Adrien-Perez,us USA,FWMF,D.C. United,26-012,1995,15,10,800,8.9,0,2,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,2.5,2.5,1.5,4.0,0.28,0.17,0.46,0.28,0.46,Matches
529,Jonathan Perez\Jonathan-Perez,us USA,FWDF,LA Galaxy,18-280,2003,3,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.16,0.00,0.16,0.16,0.16,Matches
530,Manny Perez\Manny-Perez,us USA,FWMF,Austin FC,22-248,1999,10,4,377,4.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.5,1.5,0.6,2.1,0.35,0.15,0.50,0.35,0.50,Matches
531,Jordan Perruzza\Jordan-Perruzza,ca CAN,FW,Toronto FC,20-282,2001,3,0,76,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.20,0.00,0.20,0.20,0.20,Matches
532,Tom Pettersson\Tom-Pettersson,se SWE,DF,FC Cincinnati,31-214,1990,4,4,359,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.8,0.20,0.00,0.20,0.20,0.20,Matches
533,Fafà Picault\Fafa-Picault,us USA,FWMF,Houston Dynamo,30-244,1991,30,29,2439,27.1,11,4,8,3,3,9,0,0.41,0.15,0.55,0.30,0.44,9.3,7.0,3.0,10.0,0.34,0.11,0.45,0.26,0.37,Matches
534,Samuel Piette\Samuel-Piette,ca CAN,MF,CF Montréal,26-347,1994,22,17,1540,17.1,1,1,1,0,0,4,0,0.06,0.06,0.12,0.06,0.12,1.4,1.4,0.4,1.8,0.08,0.02,0.11,0.08,0.11,Matches
535,Mauricio Pineda\Mauricio-Pineda,us USA,DFMF,Chicago Fire,24-008,1997,27,26,2253,25.0,1,0,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,1.4,1.4,1.0,2.3,0.05,0.04,0.09,0.05,0.09,Matches
536,Rodrigo Piñeiro\Rodrigo-Pineiro,uy URU,MF,Nashville,22-173,1999,2,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
537,Donovan Pines\Donovan-Pines,us USA,DF,D.C. United,23-232,1998,15,14,1183,13.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.2,1.4,0.09,0.02,0.11,0.09,0.11,Matches
538,Rodolfo Pizarro\Rodolfo-Pizarro,mx MEX,FWMF,Inter Miami,27-252,1994,24,18,1507,16.7,3,3,3,0,0,2,0,0.18,0.18,0.36,0.18,0.36,2.7,2.7,1.6,4.3,0.16,0.09,0.26,0.16,0.26,Matches
539,Tomas Pochettino\Tomas-Pochettino,ar ARG,MFFW,Austin FC,25-266,1996,28,24,2044,22.7,2,1,2,0,0,3,0,0.09,0.04,0.13,0.09,0.13,3.8,3.8,2.3,6.1,0.17,0.10,0.27,0.17,0.27,Matches
540,Andy Polo\Andy-Polo,pe PER,FWMF,Portland Timbers,27-026,1994,4,3,184,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.09,0.09,0.00,0.09,Matches
541,Matt Polster\Matt-Polster,us USA,MF,New England,28-139,1993,28,25,2097,23.3,2,0,2,0,0,7,0,0.09,0.00,0.09,0.09,0.09,1.2,1.2,0.7,2.0,0.05,0.03,0.08,0.05,0.08,Matches
542,Paxton Pomykal\Paxton-Pomykal,us USA,FWMF,FC Dallas,21-312,1999,28,16,1328,14.8,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,1.5,1.5,1.5,2.9,0.10,0.10,0.20,0.10,0.20,Matches
543,Justin Portillo\Justin-Portillo,us USA,MF,Real Salt Lake,29-046,1992,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
544,Noah Powder\Noah-Powder,tt TRI,DF,Real Salt Lake,22-363,1998,7,2,284,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.08,0.04,0.12,0.08,0.12,Matches
545,Alvas Powell\Alvas-Powell,jm JAM,DF,Philadelphia,27-099,1994,5,4,310,3.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.3,0.02,0.07,0.10,0.02,0.10,Matches
546,Alejandro Pozuelo\Alejandro-Pozuelo,es ESP,MFFW,Toronto FC,30-035,1991,16,11,1124,12.5,1,4,1,0,0,2,0,0.08,0.32,0.40,0.08,0.40,2.2,2.2,4.5,6.7,0.18,0.36,0.54,0.18,0.54,Matches
547,Jack Price\Jack-Price,eng ENG,MF,Colorado Rapids,28-310,1992,28,28,2386,26.5,0,12,0,0,0,8,0,0.00,0.45,0.45,0.00,0.45,0.5,0.5,4.8,5.3,0.02,0.18,0.20,0.02,0.20,Matches
548,Ralph Priso-Mbongue\Ralph-Priso-Mbongue,ca CAN,MF,Toronto FC,19-084,2002,11,7,570,6.3,1,0,1,0,0,3,0,0.16,0.00,0.16,0.16,0.16,0.1,0.1,0.1,0.2,0.01,0.01,0.03,0.01,0.03,Matches
